Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Model
59,0.5365560782353084,0.5400844507217407,0.77975,0.7756666666666666,Model V2
60,0.5204595473607381,0.5647976453304291,0.7871666666666667,0.7626666666666667,Model V2
61,0.5237452796697617,0.5688052158355713,0.7878333333333334,0.774,Model V2
62,0.5109572309652964,0.5633355117638906,0.7934166666666667,0.768,Model V2
63,0.5221307531197866,0.5403986349105835,0.7894166666666667,0.7763333333333333,Model V2
64,0.5199174888531367,0.5408847179412842,0.7869166666666667,0.7753333333333333,Model V2
65,0.5150337936083476,0.5497113769054413,0.7913333333333333,0.776,Model V2
66,0.4934588489532471,0.5357198801040649,0.80525,0.7726666666666666,Model V2
67,0.48872480714321137,0.5311971267064413,0.7979166666666667,0.7796666666666666,Model V2
68,0.48983319354057314,0.5390452567736308,0.8005833333333333,0.7736666666666666,Model V2
69,0.491487605770429,0.535979683081309,0.8006666666666666,0.7806666666666666,Model V2
70,0.4771627106666565,0.5275221971670786,0.811,0.783,Model V2
71,0.4835559935172399,0.5087183663050334,0.8089166666666666,0.7936666666666666,Model V2
72,0.47792696022987363,0.5287368532816569,0.8039166666666666,0.7886666666666666,Model V2
73,0.47203629883130394,0.5387319197654724,0.80975,0.7793333333333333,Model V2
74,0.4790315218369166,0.5151610473791758,0.8081666666666667,0.7836666666666666,Model V2
75,0.47037783137957256,0.5147507989406586,0.8133333333333334,0.795,Model V2
76,0.47747259398301445,0.52856330148379,0.80825,0.7886666666666666,Model V2
77,0.46386691204706826,0.5182573414643605,0.8166666666666667,0.7943333333333333,Model V2
78,0.457677418311437,0.517527416229248,0.8125833333333333,0.7856666666666666,Model V2
79,0.45977131112416586,0.500270802974701,0.8189166666666666,0.795,Model V2
80,0.46156408929824827,0.5279521867434184,0.814,0.791,Model V2
81,0.4647058540582657,0.516237646261851,0.8135,0.781,Model V2
82,0.4546725038687388,0.5133397273222605,0.8178333333333333,0.7883333333333333,Model V2
83,0.4507495818932851,0.514284355799357,0.8195833333333333,0.7876666666666666,Model V2
84,0.4521739269097646,0.5090213292439779,0.8180833333333334,0.7936666666666666,Model V2
85,0.44588593844572705,0.5353938598632813,0.8216666666666667,0.7776666666666666,Model V2
86,0.44582061378161114,0.5103620645999909,0.82225,0.7926666666666666,Model V2
87,0.45385861603418987,0.50888330189387,0.8158333333333333,0.798,Model V2
88,0.4432179141441981,0.5123129175504049,0.8208333333333333,0.7833333333333333,Model V2
89,0.4345515778859456,0.5019598204294841,0.8274166666666667,0.795,Model V2
90,0.44595705393950147,0.49649654046694436,0.8235833333333333,0.7983333333333333,Model V2
91,0.4426414672533671,0.49864733386039733,0.8235,0.7966666666666666,Model V2
92,0.4339750391244888,0.4973555185000102,0.8269166666666666,0.797,Model V2
93,0.43856472686926523,0.4984155210653941,0.8235,0.8003333333333333,Model V2
94,0.445702840924263,0.5096748061180115,0.8210833333333334,0.789,Model V2
95,0.4383994653224945,0.5039893752733866,0.8256666666666667,0.7906666666666666,Model V2
96,0.44295707587401073,0.4902470390001933,0.8218333333333333,0.7983333333333333,Model V2
97,0.4323013822635015,0.5056218921343486,0.8253333333333334,0.8006666666666666,Model V2
98,0.4444099688132604,0.4974549209276835,0.8193333333333334,0.7996666666666666,Model V2
99,0.43644752736886344,0.5122641991774242,0.8259166666666666,0.7913333333333333,Model V2
100,0.4355494878689448,0.49568576892217,0.8236666666666667,0.7926666666666666,Model V2
101,0.4386674135923386,0.4982606467405955,0.8210833333333334,0.7876666666666666,Model V2
102,0.4376933509111404,0.500116506377856,0.8210833333333334,0.7976666666666666,Model V2
103,0.4261791278918584,0.5046845554510753,0.82125,0.794,Model V2
104,0.4328249479532242,0.5006472321748734,0.8276666666666667,0.7863333333333333,Model V2
105,0.4390793600877126,0.4958911418914795,0.8250833333333333,0.8006666666666666,Model V2
106,0.43432138828436534,0.4988240185578664,0.8256666666666667,0.7986666666666666,Model V2
107,0.43236741503079734,0.49980104446411133,0.82775,0.8006666666666666,Model V2
108,0.43284782699743907,0.49307800936698915,0.8248333333333333,0.7946666666666666,Model V2
109,0.4210724037090937,0.4978185102144877,0.8350833333333333,0.7936666666666666,Model V2
110,0.43619798016548156,0.4892606178919474,0.8248333333333333,0.8043333333333333,Model V2
111,0.43103528809547426,0.4816626895268758,0.8251666666666667,0.8026666666666666,Model V2
112,0.43499726152420043,0.49613076909383136,0.8231666666666667,0.7983333333333333,Model V2
113,0.44204855513572694,0.5045560755729676,0.8255833333333333,0.7916666666666666,Model V2
114,0.4191087843179703,0.4980387911001841,0.8325833333333333,0.7966666666666666,Model V2
115,0.4289247973362605,0.5080604370435079,0.8275,0.792,Model V2
116,0.43683671939373014,0.5050536416371664,0.8253333333333334,0.788,Model V2
117,0.43076661296685537,0.49074042558670045,0.8263333333333334,0.788,Model V2
118,0.42464386812845867,0.49275930150349934,0.8295833333333333,0.797,Model V2
119,0.42511742929617563,0.5113078455924988,0.8336666666666667,0.788,Model V2
120,0.42914754803975425,0.5043377904891968,0.8271666666666667,0.7913333333333333,Model V2
121,0.4293532989025116,0.49923673224449155,0.82975,0.7866666666666666,Model V2
122,0.4313860092163086,0.5074247953891754,0.8250833333333333,0.7956666666666666,Model V2
123,0.42763240174452466,0.4879874728520711,0.8316666666666667,0.7966666666666666,Model V2
124,0.42055658876895907,0.5003471536238988,0.8346666666666667,0.7956666666666666,Model V2
125,0.4313980733950933,0.5070914402802785,0.82525,0.7863333333333333,Model V2
126,0.42712659207979836,0.5052978047529857,0.8274166666666667,0.7976666666666666,Model V2
